yard,treatment_grp,lab_ID,field_ID,nuc_year,date_collected,sampling_event,year,queen_breeder,queen_year_mated,overwinter_success,virgin_year,frame_of_bees_FHA,frame_of _bees_date,frame_of_bees,brood_amnt_FHA,brood_amnt,brood_pat,brood_swarm_cells,disease_present,FKB_start_date,FKB_end_date,FKB_start_uncapped,FKB_start_capped,FKB_end_capped,FKB_percentage,UBO_date,UBO_start_time,UBO_end_time,UBO_start_capped,UBO_end_uncapped,UBO_percentile,RNA_ext_date,virus_count,varroa_count,nosema_count,varroa_load_mites.100.bees,nosema_load_spores.bee,honey_removed,october_weight,queen_eval_pat,queen_eval_amt,pollen_sub_added,comments,,,,
Brigham,,39,13,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,16,144,109,0.2431,,,,,,,,,0,4,0,200000,,,,,,,,,,
Brigham,,41,6,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,1,159,35,0.7799,,,,,,,,,0,1,0,50000,,,,,,,,,,
Brigham,,40,11,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,15,145,9,0.9379,,,,,,,,,0,0,0,0,,,,,,,,,,
Brigham,,34,2,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,
Brigham,,37,5,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,10,150,41,0.7267,,,,,,,,,0,0,0,0,,,,,,,,,,
Camisa,,46,13,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,22,138,21,0.8478,,,,,,,,,0,0,0,0,,,,,,,,,,
Camisa,,43,10,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,14,146,65,0.5548,,,,,,,,,0,0,0,0,,,,,,,,,,
Camisa,,44,5,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,6,154,58,0.6234,,,,,,,,,0,0,0,0,,,,,,,,,,
Camisa,,42,11,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,20,140,66,0.5286,,,,,,,,,1,1,0.333333333,50000,,,,,,,,,,
Camisa,,48,19,,6/24/21,2,2021,,,,,,,,,,,,,6/22/21,6/24/21,22,138,47,0.6594,,,,,,,,,0,0,0,0,,,,,,,,,,
